image,caption
data/images/1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .
data/images/1110208841_5bb6806afe.jpg,a brown and white dog catches a Frisbee in it mouth in front of a group of people .
data/images/1110208841_5bb6806afe.jpg,A brown and white dug jumping up to catch a Frisbee while an audience watches .
data/images/1110208841_5bb6806afe.jpg,"A dog jumps to catch a Frisbee , while many people watch ."
data/images/1110208841_5bb6806afe.jpg,An agile dog catches a Frisbee while a crowd of onlookers watches closely .
data/images/1112212364_0c48235fc2.jpg,A baby is sitting on and playing with smooth rocks .
data/images/1112212364_0c48235fc2.jpg,A baby is stacking rocks on the beach .
data/images/1112212364_0c48235fc2.jpg,A small boy is playing with rocks
data/images/1112212364_0c48235fc2.jpg,A toddler sitting on a pile of rocks holding a rock at a beach .
data/images/1112212364_0c48235fc2.jpg,Toddler sits on a pile of rocks .
data/images/111497985_38e9f88856.jpg,A kid rock climbing against the backdrop of a green valley
data/images/111497985_38e9f88856.jpg,A woman in a striped shirt climbs up a mountain .
data/images/111497985_38e9f88856.jpg,A young man climbs a rocky hill .
data/images/111497985_38e9f88856.jpg,The person has a striped shirt on and is holding on to a rope on a mountain .
data/images/111497985_38e9f88856.jpg,The person in the striped shirt is mountain climbing .
data/images/111537217_082a4ba060.jpg,A man climbing a rock wall
data/images/111537217_082a4ba060.jpg,A man climbing the side of a cliff .
data/images/111537217_082a4ba060.jpg,A man is rock climbing .
data/images/111537217_082a4ba060.jpg,"Man with red shoes , white shirt and grey pants climbing ."
data/images/111537217_082a4ba060.jpg,The young man with the white t-shirt and jeans is rappeling up the rock wall .
data/images/111537222_07e56d5a30.jpg,A climber wearing a blue helmet and headlamp is attached to a rope on the rock face .
data/images/111537222_07e56d5a30.jpg,A man climbs a rocky wall .
data/images/111537222_07e56d5a30.jpg,a rock climber climbs a large rock .
data/images/111537222_07e56d5a30.jpg,A woman in purple snakeskin pants climbs a rock .
data/images/111537222_07e56d5a30.jpg,Person with blue helmet and purple pants is rock climbing .
data/images/1115565519_d976d4b1f1.jpg,A child playing with a fountain at the beach .
data/images/1115565519_d976d4b1f1.jpg,A child plays with a fountain .
data/images/1115565519_d976d4b1f1.jpg,A girl looks at a fountain that sprays water .
data/images/1115565519_d976d4b1f1.jpg,A little girl playing in water on a frog sculpture .
data/images/1115565519_d976d4b1f1.jpg,The little girl is playing with a toy in a public fountain .
data/images/1115679311_245eff2f4b.jpg,A black dog is jumping over a log along a beach .
data/images/1115679311_245eff2f4b.jpg,A black dog runs along the beach and jumps over a wood barrior .
data/images/1115679311_245eff2f4b.jpg,A dog is running on the beach .
data/images/1115679311_245eff2f4b.jpg,a dog jumping over a small wall at a beach near the water .
data/images/1115679311_245eff2f4b.jpg,An animal is running on the beach .
data/images/111766423_4522d36e56.jpg,A black and white bird eating seeds out of someone 's hand
data/images/111766423_4522d36e56.jpg,A black and white bird standing on a hand .
data/images/111766423_4522d36e56.jpg,A small bird sits in a person 's hand and eats seeds .
data/images/111766423_4522d36e56.jpg,Black and white bird standing on hand of someone holding sunflower seeds
data/images/111766423_4522d36e56.jpg,The small bird is clinging to a finger of the hand holding the seeds .
data/images/1117972841_2b9261f95f.jpg,A brown dog is running in the sand .
data/images/1117972841_2b9261f95f.jpg,A brown dog playing in the sand .
data/images/1117972841_2b9261f95f.jpg,A brown dog plays at the beach .
data/images/1117972841_2b9261f95f.jpg,A dog is standing in the sand .
data/images/1117972841_2b9261f95f.jpg,A dog running fast in the sand .
data/images/1118557877_736f339752.jpg,A little boy stands in the surf .
data/images/1118557877_736f339752.jpg,A small child wades through the water while being guided by another person .
data/images/1118557877_736f339752.jpg,A young boy laughs while splashing in the ocean .
data/images/1118557877_736f339752.jpg,a young boy wearing a colorful bathing suit splashing in the ocean
data/images/1118557877_736f339752.jpg,A young child splashing in water .
data/images/1119015538_e8e796281e.jpg,A little tan dog with large ears running through the grass .
data/images/1119015538_e8e796281e.jpg,A playful dog is running through the grass .
data/images/1119015538_e8e796281e.jpg,A small dogs ears stick up as it runs in the grass .
data/images/1119015538_e8e796281e.jpg,The small dog is running across the lawn .
data/images/1119015538_e8e796281e.jpg,this is a small beige dog running through a grassy field
data/images/1119418776_58e4b93eac.jpg,A black and white dog is running through the field .
data/images/1119418776_58e4b93eac.jpg,"A black , brown and white dog running through a field ."
data/images/1119418776_58e4b93eac.jpg,"A brown , black and white dog is running through a large field with its mouth open ."
data/images/1119418776_58e4b93eac.jpg,A dog running in a field .
data/images/1119418776_58e4b93eac.jpg,A dog with its mouth open running through a field torwards the camera .
data/images/1119463452_69d4eecd08.jpg,A girl in a pink swimsuit in a pool
data/images/1119463452_69d4eecd08.jpg,A girl swimming in a pool .
data/images/1119463452_69d4eecd08.jpg,A little girl in a pink bathing suit swimming in a pool .
data/images/1119463452_69d4eecd08.jpg,A little girl swimming in a pool .
data/images/1119463452_69d4eecd08.jpg,Smiling little girl swimming in outdoor pool .
data/images/1121416483_c7902d0d49.jpg,A child is standing on her head .
data/images/1121416483_c7902d0d49.jpg,A little girl standing on her head .
data/images/1121416483_c7902d0d49.jpg,A small child doing a handstand on a bed .
data/images/1121416483_c7902d0d49.jpg,A young girl does a handstand on a bed with blue sheets .
data/images/1121416483_c7902d0d49.jpg,The girl is upside down on a bed
data/images/112178718_87270d9b4d.jpg,A guy stands in the sand with a snowboard behind him .
data/images/112178718_87270d9b4d.jpg,A man holds a surfboard on the beach .
data/images/112178718_87270d9b4d.jpg,a man holds his snowboard in the sand .
data/images/112178718_87270d9b4d.jpg,A man with his surfboard stands in the sand .
data/images/112178718_87270d9b4d.jpg,Man is standing on white sand and holding a snowboard .
data/images/112243673_fd68255217.jpg,People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees .
data/images/112243673_fd68255217.jpg,Three people are riding around on ATV 's and motorcycles .
data/images/112243673_fd68255217.jpg,Three people on motorbikes follow a trail through dry grass .
data/images/112243673_fd68255217.jpg,Three people on two dirt-bikes and one four-wheeler are riding through brown grass .
data/images/112243673_fd68255217.jpg,Three people ride off-road bikes through a field surrounded by trees .
data/images/1122944218_8eb3607403.jpg,A baby in a white garment holds a flag with crescent moon and star .
data/images/1122944218_8eb3607403.jpg,A baby is holding a small black flag with a moon and a star on it .
data/images/1122944218_8eb3607403.jpg,A baby wearing a white gown waves a Muslim flag .
data/images/1122944218_8eb3607403.jpg,A little toddler dressed in white is smiling while a lady helps him wave a flag .
data/images/1122944218_8eb3607403.jpg,Baby in white outfit holding black and white flag .
data/images/1124448967_2221af8dc5.jpg,A half naked man is sleeping on his chair outdoors .
data/images/1124448967_2221af8dc5.jpg,An older man sits back and relaxes on a patio outside an adobe building where many bicycles are propped .
data/images/1124448967_2221af8dc5.jpg,"A shirtless man in a white cap relaxes in a deck chair , close to three parked bicycles ."
data/images/1124448967_2221af8dc5.jpg,Man relaxing in a folding chair on the street .
data/images/1124448967_2221af8dc5.jpg,"Topless old man wearing slippers , navy blue pants and a white hat while reclining in a chair outside ."
data/images/1129704496_4a61441f2c.jpg,A brown and white and a black and white dog hauling in a floating toy from the ocean .
data/images/1129704496_4a61441f2c.jpg,Both dogs retrieve the play toy from the water .
data/images/1129704496_4a61441f2c.jpg,Two dogs in the ocean playing with a toy
data/images/1129704496_4a61441f2c.jpg,Two dogs run through the water with a rope in their mouths .
data/images/1129704496_4a61441f2c.jpg,Two dogs tug at a chew toy in the surf .
data/images/1130017585_1a219257ac.jpg,"There are three young people , one dark haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair ."
data/images/1130017585_1a219257ac.jpg,The young people party in the streets .
data/images/1130017585_1a219257ac.jpg,Three girls make faces as one takes a drink while they stand in a busy street .
data/images/1130017585_1a219257ac.jpg,Three women on the street drinking and posing
data/images/1130017585_1a219257ac.jpg,Three young women pose for the camera at a parade .
data/images/1130369873_d80a1aa59c.jpg,A brown dog is running through neck-deep water carrying a tennis ball .
data/images/1130369873_d80a1aa59c.jpg,A brown dog splashes in the water while carrying a ball in its mouth .
data/images/1130369873_d80a1aa59c.jpg,A brown dog swims through water outdoors with a tennis ball in its mouth .
data/images/1130369873_d80a1aa59c.jpg,"A red dog , holding a ball , splashes through vegetation filled water ."
data/images/1130369873_d80a1aa59c.jpg,"Brown dog with tennis ball in mouth , in water and bushes ."
data/images/1130401779_8c30182e3e.jpg,Two brown dogs are creating large splashes as they run in a river .
data/images/1130401779_8c30182e3e.jpg,Two brown dogs in the water .
data/images/1130401779_8c30182e3e.jpg,Two brown dogs running through water .
data/images/1130401779_8c30182e3e.jpg,Two brown dogs runs through the water .
data/images/1130401779_8c30182e3e.jpg,Two dogs splash through the water .
data/images/1131155939_b4b457b05e.jpg,A black dog runs into the ocean next to a pile of seaweed .
data/images/1131155939_b4b457b05e.jpg,"A black lav runs into the water on the beach , with swimmers in the distance and sea kelp in the foreground ."
